From state 242:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 243:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 244:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 245:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 246:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 247:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 248:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 249:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 250:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 251:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 252:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 253:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 254:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 255:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 256:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 257:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 258:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 259:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 260:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 261:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 262:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 263:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 264:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 265:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 266:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 267:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 268:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 269:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 270:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 271:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 272:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 273:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 274:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 275:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 276:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 277:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 278:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 279:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 280:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 281:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 282:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 283:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 284:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 285:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 286:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 287:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 288:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 289:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 290:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 291:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 292:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 293:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 294:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 295:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 296:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 297:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 298:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 299:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 300:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 301:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 302:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 303:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 304:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 305:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 306:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 307:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 308:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 309:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 310:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 311:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 312:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 313:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 314:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 315:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 316:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 317:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
